story,word,pos,lemma
story1.txt,Once,ADV,once
story1.txt,upon,SCONJ,upon
story1.txt,a,DET,a
story1.txt,midnight,NOUN,midnight
story1.txt,dreary,NOUN,dreary
story1.txt,",",PUNCT,","
story1.txt,while,SCONJ,while
story1.txt,I,PRON,I
story1.txt,pondered,VERB,ponder
story1.txt,",",PUNCT,","
story1.txt,weak,ADJ,weak
story1.txt,and,CCONJ,and
story1.txt,weary,ADJ,weary
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,Over,ADP,over
story1.txt,many,ADJ,many
story1.txt,a,DET,a
story1.txt,quaint,NOUN,quaint
story1.txt,and,CCONJ,and
story1.txt,curious,ADJ,curious
story1.txt,volume,NOUN,volume
story1.txt,of,ADP,of
story1.txt,forgotten,VERB,forget
story1.txt,lore,NOUN,lore
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,While,SCONJ,while
story1.txt,I,PRON,I
story1.txt,nodded,VERB,nod
story1.txt,",",PUNCT,","
story1.txt,nearly,ADV,nearly
story1.txt,napping,VERB,nap
story1.txt,",",PUNCT,","
story1.txt,suddenly,ADV,suddenly
story1.txt,there,PRON,there
story1.txt,came,VERB,come
story1.txt,a,DET,a
story1.txt,tapping,NOUN,tapping
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,As,ADP,as
story1.txt,of,ADP,of
story1.txt,some,DET,some
story1.txt,one,NUM,one
story1.txt,gently,ADV,gently
story1.txt,rapping,VERB,rap
story1.txt,",",PUNCT,","
story1.txt,rapping,VERB,rap
story1.txt,at,ADP,at
story1.txt,my,PRON,my
story1.txt,chamber,NOUN,chamber
story1.txt,door,NOUN,door
story1.txt,.,PUNCT,.
story1.txt,"

",SPACE,"

"
story1.txt,“,PUNCT,""""
story1.txt,’,PUNCT,'
story1.txt,Tis,VERB,tis
story1.txt,some,DET,some
story1.txt,visitor,NOUN,visitor
story1.txt,",",PUNCT,","
story1.txt,”,PUNCT,""""
story1.txt,I,PRON,I
story1.txt,muttered,VERB,mutter
story1.txt,",",PUNCT,","
story1.txt,“,PUNCT,""""
story1.txt,tapping,VERB,tap
story1.txt,at,ADP,at
story1.txt,my,PRON,my
story1.txt,chamber,NOUN,chamber
story1.txt,door,NOUN,door
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Only,ADV,only
story1.txt,this,PRON,this
