story,word,pos,lemma
story5.txt,One,NUM,one
story5.txt,fine,ADJ,fine
story5.txt,morning,NOUN,morning
story5.txt,the,DET,the
story5.txt,collegiate,ADJ,collegiate
story5.txt,assessor,NOUN,assessor
story5.txt,",",PUNCT,","
story5.txt,Kirill,PROPN,Kirill
story5.txt,Ivanovitch,PROPN,Ivanovitch
story5.txt,Babilonov,PROPN,Babilonov
story5.txt,",",PUNCT,","
story5.txt,who,PRON,who
story5.txt,had,AUX,have
story5.txt,died,VERB,die
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,two,NUM,two
story5.txt,afflictions,NOUN,affliction
story5.txt,so,ADV,so
story5.txt,widely,ADV,widely
story5.txt,spread,VERB,spread
story5.txt,in,ADP,in
story5.txt,our,PRON,our
story5.txt,country,NOUN,country
story5.txt,",",PUNCT,","
story5.txt,a,DET,a
story5.txt,bad,ADJ,bad
story5.txt,wife,NOUN,wife
story5.txt,and,CCONJ,and
story5.txt,alcoholism,NOUN,alcoholism
story5.txt,",",PUNCT,","
story5.txt,was,AUX,be
story5.txt,being,AUX,be
story5.txt,buried,VERB,bury
story5.txt,.,PUNCT,.
story5.txt,As,SCONJ,as
story5.txt,the,DET,the
story5.txt,funeral,NOUN,funeral
story5.txt,procession,NOUN,procession
story5.txt,set,VERB,set
story5.txt,off,ADP,off
story5.txt,from,ADP,from
story5.txt,the,DET,the
story5.txt,church,NOUN,church
story5.txt,to,ADP,to
story5.txt,the,DET,the
story5.txt,cemetery,NOUN,cemetery
story5.txt,",",PUNCT,","
story5.txt,one,NUM,one
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,deceased,ADJ,deceased
story5.txt,’s,PART,’s
story5.txt,colleagues,NOUN,colleague
story5.txt,",",PUNCT,","
story5.txt,called,VERB,call
story5.txt,Poplavsky,PROPN,Poplavsky
story5.txt,",",PUNCT,","
story5.txt,got,VERB,get
story5.txt,into,ADP,into
story5.txt,a,DET,a
story5.txt,cab,NOUN,cab
story5.txt,and,CCONJ,and
story5.txt,galloped,VERB,gallop
story5.txt,off,ADP,off
story5.txt,to,PART,to
story5.txt,find,VERB,find
story5.txt,a,DET,a
story5.txt,friend,NOUN,friend
story5.txt,",",PUNCT,","
story5.txt,one,NUM,one
story5.txt,Grigory,PROPN,Grigory
